id,source,target,word,weight,topic
K1_1,Discover,Evaluate,signal,18,Awareness
K1_2,Discover,Evaluate,trend,16,Awareness
K1_3,Discover,Evaluate,launch,14,Awareness
K1_4,Discover,Evaluate,story,12,Awareness
K1_5,Discover,Evaluate,reach,10,Awareness
K1_6,Discover,Evaluate,curiosity,8,Awareness
K2_1,Discover,Discuss,people,19,Community
K2_2,Discover,Discuss,dialogue,17,Community
K2_3,Discover,Discuss,share,15,Community
K2_4,Discover,Discuss,network,13,Community
K2_5,Discover,Discuss,voice,11,Community
K2_6,Discover,Discuss,belonging,9,Community
K3_1,Evaluate,Adopt,proof,20,Trust
K3_2,Evaluate,Adopt,quality,18,Trust
K3_3,Evaluate,Adopt,reliable,16,Trust
K3_4,Evaluate,Adopt,value,14,Trust
K3_5,Evaluate,Adopt,expert,12,Trust
K3_6,Evaluate,Adopt,confidence,10,Trust
K4_1,Evaluate,Reject,cost,21,Risk
K4_2,Evaluate,Reject,uncertain,19,Risk
K4_3,Evaluate,Reject,privacy,17,Risk
K4_4,Evaluate,Reject,delay,15,Risk
K4_5,Evaluate,Reject,complex,13,Risk
K4_6,Evaluate,Reject,doubt,11,Risk
K5_1,Discuss,Adopt,recommend,18,Advocacy
K5_2,Discuss,Adopt,benefit,16,Advocacy
K5_3,Discuss,Adopt,impact,14,Advocacy
K5_4,Discuss,Adopt,champion,12,Advocacy
K5_5,Discuss,Adopt,adopt,10,Advocacy
K5_6,Discuss,Adopt,success,8,Advocacy
K6_1,Discuss,Reconsider,compare,19,Reflection
K6_2,Discuss,Reconsider,review,17,Reflection
K6_3,Discuss,Reconsider,context,15,Reflection
K6_4,Discuss,Reconsider,question,13,Reflection
K6_5,Discuss,Reconsider,learn,11,Reflection
K6_6,Discuss,Reconsider,pause,9,Reflection
K7_1,Reconsider,Adopt,research,20,Evidence
K7_2,Reconsider,Adopt,result,18,Evidence
K7_3,Reconsider,Adopt,measure,16,Evidence
K7_4,Reconsider,Adopt,insight,14,Evidence
K7_5,Reconsider,Adopt,test,12,Evidence
K7_6,Reconsider,Adopt,clarity,10,Evidence
K8_1,Reconsider,Reject,warning,21,Concern
K8_2,Reconsider,Reject,barrier,19,Concern
K8_3,Reconsider,Reject,issue,17,Concern
K8_4,Reconsider,Reject,tradeoff,15,Concern
K8_5,Reconsider,Reject,limit,13,Concern
K8_6,Reconsider,Reject,reject,11,Concern
