source,target,weight,relation_type
U001,U002,1,retweet
U001,U033,2,retweet
U001,U174,5,cross-community
U003,U004,3,retweet
U005,U006,5,retweet
U007,U008,7,retweet
U008,U040,9,retweet
U009,U010,9,retweet
U011,U012,2,retweet
U013,U014,4,retweet
U015,U016,6,retweet
U015,U047,8,retweet
U017,U018,8,retweet
U019,U020,1,retweet
U021,U022,3,retweet
U022,U054,7,retweet
U023,U024,5,retweet
U024,U335,7,cross-community
U025,U026,7,retweet
U027,U028,9,retweet
U029,U030,2,retweet
U029,U061,6,retweet
U031,U032,4,retweet
U033,U034,6,retweet
U035,U036,8,retweet
U036,U068,5,retweet
U037,U038,1,retweet
U039,U040,3,retweet
U041,U042,5,retweet
U043,U044,7,retweet
U043,U075,4,retweet
U045,U046,9,retweet
U047,U048,2,retweet
U047,U496,9,cross-community
U049,U050,4,retweet
U050,U082,3,retweet
U051,U052,6,retweet
U053,U054,8,retweet
U055,U056,1,retweet
U057,U058,3,retweet
U057,U089,2,retweet
U059,U060,5,retweet
U061,U062,7,retweet
U063,U064,9,retweet
U064,U096,9,retweet
U065,U066,2,retweet
U067,U068,4,retweet
U069,U070,6,retweet
U070,U145,11,cross-community
U071,U072,8,retweet
U071,U103,8,retweet
U073,U074,1,retweet
U075,U076,3,retweet
U077,U078,5,retweet
U078,U110,7,retweet
U079,U080,7,retweet
U081,U082,9,retweet
U083,U084,2,retweet
U085,U086,4,retweet
U085,U117,6,retweet
U087,U088,6,retweet
U089,U090,8,retweet
U091,U092,1,retweet
U092,U124,5,retweet
U093,U094,3,retweet
U093,U306,6,cross-community
U095,U096,5,retweet
U097,U098,7,retweet
U099,U100,9,retweet
U099,U131,4,retweet
U101,U102,2,retweet
U103,U104,4,retweet
U105,U106,6,retweet
U106,U138,3,retweet
U107,U108,8,retweet
U109,U110,1,retweet
U111,U112,3,retweet
U113,U114,5,retweet
U113,U145,2,retweet
U115,U116,7,retweet
U116,U467,8,cross-community
U117,U118,9,retweet
U119,U120,2,retweet
U120,U152,9,retweet
U121,U122,4,retweet
U123,U124,6,retweet
