id,x,y,community,user_type,activity
U001,0.0,0.000,Civic Futures,Opinion leader,18
U002,1.0,0.000,Civic Futures,Retweeter,35
U003,2.0,0.000,Civic Futures,Retweeter,52
U004,3.0,0.000,Civic Futures,Receiver,69
U005,4.0,0.000,Civic Futures,Receiver,86
U006,5.0,0.000,Civic Futures,Retweeter,20
U007,6.0,0.000,Civic Futures,Retweeter,37
U008,7.0,0.000,Civic Futures,Retweeter,54
U009,8.0,0.000,Civic Futures,Receiver,71
U010,9.0,0.000,Civic Futures,Receiver,88
U011,10.0,0.000,Civic Futures,Retweeter,22
U012,11.0,0.000,Civic Futures,Retweeter,39
U013,12.0,0.000,Civic Futures,Retweeter,56
U014,13.0,0.000,Civic Futures,Receiver,73
U015,14.0,0.000,Civic Futures,Receiver,90
U016,15.0,0.000,Civic Futures,Retweeter,24
U017,16.0,0.000,Open Technology,Retweeter,41
U018,17.0,0.000,Open Technology,Retweeter,58
U019,18.0,0.000,Open Technology,Receiver,75
U020,19.0,0.000,Open Technology,Receiver,92
U021,20.0,0.000,Open Technology,Retweeter,26
U022,21.0,0.000,Open Technology,Retweeter,43
U023,22.0,0.000,Open Technology,Retweeter,60
U024,23.0,0.000,Open Technology,Receiver,77
U025,24.0,0.000,Open Technology,Receiver,94
U026,25.0,0.000,Open Technology,Retweeter,28
U027,26.0,0.000,Open Technology,Retweeter,45
U028,27.0,0.000,Open Technology,Retweeter,62
U029,28.0,0.000,Open Technology,Receiver,79
U030,29.0,0.000,Open Technology,Receiver,96
U031,30.0,0.000,Open Technology,Retweeter,30
U032,31.0,0.000,Open Technology,Retweeter,47
U033,0.5,0.866,Civic Futures,Retweeter,64
U034,1.5,0.866,Civic Futures,Receiver,81
U035,2.5,0.866,Civic Futures,Receiver,98
U036,3.5,0.866,Civic Futures,Retweeter,32
U037,4.5,0.866,Civic Futures,Retweeter,49
U038,5.5,0.866,Civic Futures,Retweeter,66
U039,6.5,0.866,Civic Futures,Receiver,83
U040,7.5,0.866,Civic Futures,Receiver,100
U041,8.5,0.866,Civic Futures,Retweeter,34
U042,9.5,0.866,Civic Futures,Retweeter,51
U043,10.5,0.866,Civic Futures,Retweeter,68
U044,11.5,0.866,Civic Futures,Receiver,85
U045,12.5,0.866,Civic Futures,Receiver,19
U046,13.5,0.866,Civic Futures,Retweeter,36
U047,14.5,0.866,Civic Futures,Retweeter,53
U048,15.5,0.866,Civic Futures,Retweeter,70
U049,16.5,0.866,Open Technology,Receiver,87
U050,17.5,0.866,Open Technology,Receiver,21
U051,18.5,0.866,Open Technology,Retweeter,38
U052,19.5,0.866,Open Technology,Retweeter,55
U053,20.5,0.866,Open Technology,Retweeter,72
U054,21.5,0.866,Open Technology,Receiver,89
U055,22.5,0.866,Open Technology,Receiver,23
U056,23.5,0.866,Open Technology,Retweeter,40
U057,24.5,0.866,Open Technology,Retweeter,57
U058,25.5,0.866,Open Technology,Retweeter,74
U059,26.5,0.866,Open Technology,Receiver,91
U060,27.5,0.866,Open Technology,Receiver,25
U061,28.5,0.866,Open Technology,Retweeter,42
U062,29.5,0.866,Open Technology,Retweeter,59
U063,30.5,0.866,Open Technology,Retweeter,76
U064,31.5,0.866,Open Technology,Receiver,93
U065,0.0,1.732,Civic Futures,Receiver,27
U066,1.0,1.732,Civic Futures,Retweeter,44
U067,2.0,1.732,Civic Futures,Retweeter,61
U068,3.0,1.732,Civic Futures,Retweeter,78
U069,4.0,1.732,Civic Futures,Opinion leader,95
U070,5.0,1.732,Civic Futures,Receiver,29
U071,6.0,1.732,Civic Futures,Retweeter,46
U072,7.0,1.732,Civic Futures,Retweeter,63
U073,8.0,1.732,Civic Futures,Retweeter,80
U074,9.0,1.732,Civic Futures,Receiver,97
U075,10.0,1.732,Civic Futures,Receiver,31
U076,11.0,1.732,Civic Futures,Retweeter,48
U077,12.0,1.732,Civic Futures,Retweeter,65
U078,13.0,1.732,Civic Futures,Opinion leader,82
U079,14.0,1.732,Civic Futures,Receiver,99
U080,15.0,1.732,Civic Futures,Receiver,33
U081,16.0,1.732,Civic Futures,Retweeter,50
U082,17.0,1.732,Open Technology,Retweeter,67
U083,18.0,1.732,Open Technology,Retweeter,84
U084,19.0,1.732,Open Technology,Opinion leader,18
U085,20.0,1.732,Open Technology,Receiver,35
U086,21.0,1.732,Open Technology,Retweeter,52
U087,22.0,1.732,Open Technology,Opinion leader,69
U088,23.0,1.732,Open Technology,Retweeter,86
U089,24.0,1.732,Open Technology,Receiver,20
U090,25.0,1.732,Open Technology,Receiver,37
U091,26.0,1.732,Open Technology,Retweeter,54
U092,27.0,1.732,Open Technology,Retweeter,71
U093,28.0,1.732,Open Technology,Retweeter,88
U094,29.0,1.732,Open Technology,Receiver,22
U095,30.0,1.732,Open Technology,Receiver,39
U096,31.0,1.732,Open Technology,Opinion leader,56
U097,0.5,2.598,Civic Futures,Retweeter,73
U098,1.5,2.598,Civic Futures,Retweeter,90
U099,2.5,2.598,Civic Futures,Receiver,24
U100,3.5,2.598,Civic Futures,Receiver,41
U101,4.5,2.598,Civic Futures,Retweeter,58
U102,5.5,2.598,Civic Futures,Retweeter,75
U103,6.5,2.598,Civic Futures,Retweeter,92
U104,7.5,2.598,Civic Futures,Receiver,26
U105,8.5,2.598,Civic Futures,Receiver,43
U106,9.5,2.598,Civic Futures,Retweeter,60
U107,10.5,2.598,Civic Futures,Retweeter,77
U108,11.5,2.598,Civic Futures,Retweeter,94
U109,12.5,2.598,Civic Futures,Receiver,28
