university_id,academic_level,academic_level_grade,university_size,university_size_grade,Literature,Mathematics,Biology,Chemistry,Physics,Computer Science,Politics,History
u01,0.82,#82,0.76,#76,18,42,27,9,34,10,34,23
u02,0.68,#68,0.54,#54,36,14,48,22,11,12,23,26
u03,0.91,#91,0.88,#88,25,33,12,45,29,30,0,41
u04,0.47,#47,0.42,#42,9,28,37,16,44,20,20,13
u05,0.74,#74,0.63,#63,47,19,31,26,7,32,32,22
u06,0.59,#59,0.71,#71,21,40,15,34,27,10,43,10
u07,0.86,#86,0.81,#81,32,11,43,25,18,23,21,49
u08,0.77,#77,0.69,#69,16,35,24,41,12,23,20,37
u09,0.63,#63,0.58,#58,39,23,8,32,45,34,34,30
u10,0.95,#95,0.93,#93,28,46,20,13,36,0,33,18
