borough,created_year,created_month_name,incident_zip,has_incident_zip,city_cleaned_group,city_or_zip_label,location_type_clean,sighting_count,coordinate_count,average_latitude,average_longitude
BRONX,2010,Jan,10452,True,Bronx,10452,3+ Family Apt. Building,12,12,40.837547668333336,-73.92202529333333
BRONX,2010,Jan,10452,True,Bronx,10452,3+ Family Mixed Use Building,2,2,40.836674695,-73.916418585
BRONX,2010,Jan,10453,True,Bronx,10453,3+ Family Apt. Building,6,6,40.8531465,-73.90627997666667
BRONX,2010,Jan,10453,True,Bronx,10453,3+ Family Mixed Use Building,2,2,40.851978939999995,-73.908898765
BRONX,2010,Jan,10453,True,Bronx,10453,Other,3,3,40.84621459666667,-73.91118625333333
BRONX,2010,Jan,10453,True,Bronx,10453,Vacant Lot,1,1,40.84673033,-73.92496129
BRONX,2010,Jan,10454,True,Bronx,10454,1-2 Family Dwelling,1,1,40.80727069,-73.91856149
BRONX,2010,Jan,10454,True,Bronx,10454,3+ Family Apt. Building,2,2,40.807886370000006,-73.91595988
BRONX,2010,Jan,10455,True,Bronx,10455,3+ Family Apt. Building,5,5,40.814853740000004,-73.90781399400001
BRONX,2010,Jan,10455,True,Bronx,10455,3+ Family Mixed Use Building,2,2,40.81726078,-73.903650225
BRONX,2010,Jan,10456,True,Bronx,10456,1-2 Family Dwelling,2,2,40.830654505,-73.89963943500001
BRONX,2010,Jan,10456,True,Bronx,10456,3+ Family Apt. Building,8,8,40.83197637625,-73.90959031125
BRONX,2010,Jan,10456,True,Bronx,10456,3+ Family Mixed Use Building,1,1,40.82856998,-73.9189329
BRONX,2010,Jan,10456,True,Bronx,10456,Vacant Lot,1,1,40.83273358,-73.89801203
BRONX,2010,Jan,10457,True,Bronx,10457,3+ Family Apt. Building,7,7,40.84686786714286,-73.90313127000002
BRONX,2010,Jan,10457,True,Bronx,10457,3+ Family Mixed Use Building,4,4,40.84717737,-73.9051551975
BRONX,2010,Jan,10457,True,Bronx,10457,Other,4,4,40.8457929575,-73.9039067475
BRONX,2010,Jan,10457,True,Bronx,10457,Vacant Lot,2,2,40.845770855,-73.899455855
BRONX,2010,Jan,10458,True,Bronx,10458,3+ Family Apt. Building,13,13,40.86083441307692,-73.89041159923076
