id,point,label,station_type,month,value
10307,10307,Station 1,Central,1,11
10307,10307,Station 1,Central,2,22
10307,10307,Station 1,Central,3,33
10307,10307,Station 1,Central,4,44
10307,10307,Station 1,Central,5,55
10307,10307,Station 1,Central,6,66
10307,10307,Station 1,Central,7,77
10307,10307,Station 1,Central,8,88
10307,10307,Station 1,Central,9,99
10307,10307,Station 1,Central,10,9
10307,10307,Station 1,Central,11,20
10307,10307,Station 1,Central,12,31
11231,11231,Station 2,North,1,28
11231,11231,Station 2,North,2,39
11231,11231,Station 2,North,3,50
11231,11231,Station 2,North,4,61
11231,11231,Station 2,North,5,72
11231,11231,Station 2,North,6,83
11231,11231,Station 2,North,7,94
11231,11231,Station 2,North,8,4
11231,11231,Station 2,North,9,15
11231,11231,Station 2,North,10,26
11231,11231,Station 2,North,11,37
11231,11231,Station 2,North,12,48
11224,11224,Station 3,South,1,45
11224,11224,Station 3,South,2,56
11224,11224,Station 3,South,3,67
11224,11224,Station 3,South,4,78
11224,11224,Station 3,South,5,89
11224,11224,Station 3,South,6,100
11224,11224,Station 3,South,7,10
11224,11224,Station 3,South,8,21
11224,11224,Station 3,South,9,32
11224,11224,Station 3,South,10,43
11224,11224,Station 3,South,11,54
11224,11224,Station 3,South,12,65
10021,10021,Station 4,Central,1,62
10021,10021,Station 4,Central,2,73
10021,10021,Station 4,Central,3,84
10021,10021,Station 4,Central,4,95
10021,10021,Station 4,Central,5,5
10021,10021,Station 4,Central,6,16
10021,10021,Station 4,Central,7,27
10021,10021,Station 4,Central,8,38
10021,10021,Station 4,Central,9,49
10021,10021,Station 4,Central,10,60
10021,10021,Station 4,Central,11,71
10021,10021,Station 4,Central,12,82
10039,10039,Station 5,North,1,79
10039,10039,Station 5,North,2,90
10039,10039,Station 5,North,3,0
10039,10039,Station 5,North,4,11
10039,10039,Station 5,North,5,22
10039,10039,Station 5,North,6,33
10039,10039,Station 5,North,7,44
10039,10039,Station 5,North,8,55
10039,10039,Station 5,North,9,66
10039,10039,Station 5,North,10,77
10039,10039,Station 5,North,11,88
10039,10039,Station 5,North,12,99
11234,11234,Station 6,South,1,96
11234,11234,Station 6,South,2,6
11234,11234,Station 6,South,3,17
11234,11234,Station 6,South,4,28
11234,11234,Station 6,South,5,39
11234,11234,Station 6,South,6,50
11234,11234,Station 6,South,7,61
11234,11234,Station 6,South,8,72
11234,11234,Station 6,South,9,83
11234,11234,Station 6,South,10,94
11234,11234,Station 6,South,11,4
11234,11234,Station 6,South,12,15
11370,11370,Station 7,Central,1,12
11370,11370,Station 7,Central,2,23
11370,11370,Station 7,Central,3,34
11370,11370,Station 7,Central,4,45
11370,11370,Station 7,Central,5,56
11370,11370,Station 7,Central,6,67
11370,11370,Station 7,Central,7,78
11370,11370,Station 7,Central,8,89
11370,11370,Station 7,Central,9,100
11370,11370,Station 7,Central,10,10
11370,11370,Station 7,Central,11,21
11370,11370,Station 7,Central,12,32
11417,11417,Station 8,North,1,29
11417,11417,Station 8,North,2,40
11417,11417,Station 8,North,3,51
11417,11417,Station 8,North,4,62
11417,11417,Station 8,North,5,73
11417,11417,Station 8,North,6,84
11417,11417,Station 8,North,7,95
11417,11417,Station 8,North,8,5
11417,11417,Station 8,North,9,16
11417,11417,Station 8,North,10,27
11417,11417,Station 8,North,11,38
11417,11417,Station 8,North,12,49
11432,11432,Station 9,South,1,46
11432,11432,Station 9,South,2,57
11432,11432,Station 9,South,3,68
11432,11432,Station 9,South,4,79
11432,11432,Station 9,South,5,90
11432,11432,Station 9,South,6,0
11432,11432,Station 9,South,7,11
11432,11432,Station 9,South,8,22
11432,11432,Station 9,South,9,33
11432,11432,Station 9,South,10,44
11432,11432,Station 9,South,11,55
11432,11432,Station 9,South,12,66
11004,11004,Station 10,Central,1,63
11004,11004,Station 10,Central,2,74
11004,11004,Station 10,Central,3,85
11004,11004,Station 10,Central,4,96
11004,11004,Station 10,Central,5,6
11004,11004,Station 10,Central,6,17
11004,11004,Station 10,Central,7,28
11004,11004,Station 10,Central,8,39
11004,11004,Station 10,Central,9,50
11004,11004,Station 10,Central,10,61
11004,11004,Station 10,Central,11,72
11004,11004,Station 10,Central,12,83
