record_type,source,target,flow_twh,region,month,clean_power_share_pct
flow,North,Northeast,28,,,
flow,North,Central,24,,,
flow,North,East,12,,,
flow,North,South,8,,,
flow,North,West,28,,,
flow,Northeast,North,20,,,
flow,Northeast,Central,26,,,
flow,Northeast,East,32,,,
flow,Northeast,South,12,,,
flow,Northeast,West,10,,,
flow,Central,North,18,,,
flow,Central,Northeast,22,,,
flow,Central,East,20,,,
flow,Central,South,24,,,
flow,Central,West,16,,,
flow,East,North,10,,,
flow,East,Northeast,34,,,
flow,East,Central,24,,,
flow,East,South,22,,,
flow,East,West,10,,,
flow,South,North,8,,,
flow,South,Northeast,12,,,
flow,South,Central,30,,,
flow,South,East,28,,,
flow,South,West,22,,,
flow,West,North,26,,,
flow,West,Northeast,8,,,
flow,West,Central,20,,,
flow,West,East,12,,,
flow,West,South,34,,,
monthly,,,,North,2025-01-01,64.2
monthly,,,,North,2025-02-01,66.8
monthly,,,,North,2025-03-01,70.5
monthly,,,,North,2025-04-01,75.9
monthly,,,,North,2025-05-01,80.7
monthly,,,,North,2025-06-01,83.1
monthly,,,,North,2025-07-01,81.4
monthly,,,,North,2025-08-01,77.6
monthly,,,,North,2025-09-01,72.8
monthly,,,,North,2025-10-01,68.9
monthly,,,,North,2025-11-01,65.5
monthly,,,,North,2025-12-01,63.8
monthly,,,,Northeast,2025-01-01,41.5
monthly,,,,Northeast,2025-02-01,42.7
monthly,,,,Northeast,2025-03-01,45.6
monthly,,,,Northeast,2025-04-01,49.8
monthly,,,,Northeast,2025-05-01,54.2
monthly,,,,Northeast,2025-06-01,57.1
monthly,,,,Northeast,2025-07-01,55.9
monthly,,,,Northeast,2025-08-01,52.6
monthly,,,,Northeast,2025-09-01,49.3
monthly,,,,Northeast,2025-10-01,46.8
monthly,,,,Northeast,2025-11-01,43.9
monthly,,,,Northeast,2025-12-01,42.1
monthly,,,,Central,2025-01-01,35.8
monthly,,,,Central,2025-02-01,36.4
monthly,,,,Central,2025-03-01,38.1
monthly,,,,Central,2025-04-01,41.7
monthly,,,,Central,2025-05-01,45.9
monthly,,,,Central,2025-06-01,48.3
monthly,,,,Central,2025-07-01,47.2
monthly,,,,Central,2025-08-01,44.6
monthly,,,,Central,2025-09-01,41.5
monthly,,,,Central,2025-10-01,39.1
monthly,,,,Central,2025-11-01,37.2
monthly,,,,Central,2025-12-01,36.1
monthly,,,,East,2025-01-01,30.9
monthly,,,,East,2025-02-01,32.1
monthly,,,,East,2025-03-01,34.7
monthly,,,,East,2025-04-01,38.9
monthly,,,,East,2025-05-01,42.6
monthly,,,,East,2025-06-01,45.8
monthly,,,,East,2025-07-01,47.1
monthly,,,,East,2025-08-01,45.2
monthly,,,,East,2025-09-01,41.8
monthly,,,,East,2025-10-01,37.5
monthly,,,,East,2025-11-01,33.8
monthly,,,,East,2025-12-01,31.7
monthly,,,,South,2025-01-01,38.2
monthly,,,,South,2025-02-01,40.1
monthly,,,,South,2025-03-01,43.8
monthly,,,,South,2025-04-01,48.7
monthly,,,,South,2025-05-01,54.6
monthly,,,,South,2025-06-01,59.3
monthly,,,,South,2025-07-01,61.7
monthly,,,,South,2025-08-01,58.9
monthly,,,,South,2025-09-01,53.4
monthly,,,,South,2025-10-01,47.2
monthly,,,,South,2025-11-01,42.1
monthly,,,,South,2025-12-01,39.0
monthly,,,,West,2025-01-01,52.8
monthly,,,,West,2025-02-01,54.6
monthly,,,,West,2025-03-01,58.7
monthly,,,,West,2025-04-01,63.9
monthly,,,,West,2025-05-01,68.4
monthly,,,,West,2025-06-01,71.2
monthly,,,,West,2025-07-01,69.8
monthly,,,,West,2025-08-01,66.1
monthly,,,,West,2025-09-01,61.7
monthly,,,,West,2025-10-01,57.4
monthly,,,,West,2025-11-01,54.1
monthly,,,,West,2025-12-01,52.2
