source,target,value
2024-04-08_france,2024-05-06_south_korea,20
2024-04-22_canada,2024-05-06_germany,27
2024-04-01_france,2024-04-22_united_states,30
2024-04-22_united_states,2024-04-29_australia,27
2024-04-01_germany,2024-05-06_china,8
2024-04-01_south_korea,2024-05-13_china,33
2024-05-06_china,2024-05-20_china,6
2024-04-29_australia,2024-04-08_united_kingdom,28
2024-05-13_canada,2024-04-08_germany,39
2024-05-20_japan,2024-05-20_brazil,32
2024-04-22_france,2024-05-06_france,33
2024-04-01_france,2024-04-29_germany,35
2024-04-01_france,2024-04-29_france,40
2024-04-08_united_kingdom,2024-04-01_canada,29
2024-04-01_germany,2024-04-15_china,35
2024-04-22_germany,2024-04-15_brazil,22
2024-04-01_united_states,2024-05-06_china,27
2024-05-06_brazil,2024-04-29_canada,25
2024-04-08_south_korea,2024-04-15_united_kingdom,38
2024-04-08_south_korea,2024-05-20_canada,15
2024-05-13_united_kingdom,2024-05-20_japan,29
2024-04-15_japan,2024-04-15_united_states,17
2024-04-08_south_korea,2024-05-13_australia,32
2024-04-01_japan,2024-05-06_japan,23
2024-05-13_germany,2024-04-15_united_states,14
2024-04-29_australia,2024-04-29_germany,8
2024-05-13_south_korea,2024-04-08_brazil,37
2024-04-01_france,2024-04-08_brazil,35
2024-05-13_canada,2024-04-01_china,15
2024-04-01_germany,2024-04-01_australia,34
2024-04-29_australia,2024-05-06_germany,30
2024-04-15_brazil,2024-04-29_japan,16
2024-04-01_germany,2024-04-22_china,9
2024-04-22_germany,2024-04-29_united_kingdom,36
2024-05-13_china,2024-04-08_australia,31
2024-04-15_france,2024-04-29_brazil,35
2024-04-01_china,2024-04-29_united_kingdom,39
2024-04-08_japan,2024-04-01_china,40
2024-05-13_south_korea,2024-05-06_japan,16
2024-05-13_australia,2024-04-15_australia,11
2024-04-22_united_kingdom,2024-05-06_united_states,15
2024-05-13_japan,2024-05-06_united_states,14
2024-04-01_japan,2024-04-22_south_korea,19
2024-04-29_japan,2024-04-08_china,39
2024-04-08_france,2024-05-06_brazil,37
2024-04-29_germany,2024-05-20_china,16
2024-05-13_united_states,2024-04-01_france,26
2024-05-20_japan,2024-05-13_brazil,19
2024-05-13_united_states,2024-04-01_china,36
2024-04-01_brazil,2024-05-20_canada,7
2024-04-22_south_korea,2024-05-06_germany,15
2024-04-29_germany,2024-05-13_united_kingdom,23
2024-04-01_united_states,2024-04-29_south_korea,38
2024-04-29_japan,2024-04-22_brazil,12
2024-05-06_japan,2024-04-15_united_states,27
2024-04-22_united_states,2024-04-08_united_states,22
2024-04-29_australia,2024-04-08_china,38
2024-04-08_germany,2024-04-15_australia,9
2024-04-15_brazil,2024-04-08_united_states,20
2024-04-29_canada,2024-05-06_australia,15
2024-04-01_australia,2024-05-13_japan,38
2024-05-20_brazil,2024-05-06_china,29
2024-04-08_canada,2024-04-22_australia,36
2024-04-29_canada,2024-04-29_france,29
2024-04-08_germany,2024-04-22_canada,22
2024-04-22_brazil,2024-05-13_brazil,26
2024-04-29_australia,2024-05-06_france,26
2024-05-06_japan,2024-05-06_brazil,4
2024-05-13_japan,2024-04-29_canada,3
2024-05-06_united_kingdom,2024-04-08_united_kingdom,30
2024-05-06_japan,2024-05-20_germany,30
2024-05-20_south_korea,2024-04-15_japan,15
2024-04-22_germany,2024-04-29_china,5
2024-04-08_united_states,2024-05-13_japan,40
2024-04-08_china,2024-05-20_south_korea,12
2024-05-13_south_korea,2024-04-01_france,11
2024-05-20_japan,2024-04-08_germany,28
2024-04-15_brazil,2024-05-20_united_kingdom,17
2024-04-15_japan,2024-04-15_south_korea,9
2024-05-20_united_states,2024-04-01_united_kingdom,21
2024-05-13_france,2024-04-29_canada,6
2024-05-20_south_korea,2024-05-06_canada,26
2024-04-15_japan,2024-04-29_united_kingdom,9
2024-05-06_united_states,2024-04-29_germany,40
2024-04-01_france,2024-04-15_france,20
2024-04-08_china,2024-05-20_canada,18
2024-04-01_canada,2024-05-20_china,38
2024-04-22_germany,2024-05-20_united_states,29
2024-04-08_australia,2024-05-06_brazil,6
2024-04-29_brazil,2024-04-22_china,11
2024-04-08_united_kingdom,2024-04-29_brazil,6
2024-05-13_south_korea,2024-05-13_canada,33
2024-05-13_brazil,2024-04-01_france,27
2024-04-01_japan,2024-04-08_france,13
2024-04-15_south_korea,2024-04-22_china,5
2024-04-15_australia,2024-05-06_germany,26
2024-04-22_australia,2024-04-22_china,15
2024-04-29_united_kingdom,2024-04-08_united_states,19
2024-04-08_japan,2024-04-29_united_states,19
2024-05-06_australia,2024-05-20_united_states,25
2024-05-06_united_kingdom,2024-05-06_united_states,33
2024-04-22_south_korea,2024-05-20_united_kingdom,15
2024-04-08_canada,2024-05-06_china,6
2024-04-01_united_kingdom,2024-05-20_united_kingdom,3
2024-05-20_france,2024-04-15_united_states,40
2024-04-29_france,2024-04-08_france,21
2024-05-06_japan,2024-04-15_australia,10
2024-05-20_canada,2024-04-08_china,3
2024-04-15_united_kingdom,2024-04-29_canada,36
2024-05-20_germany,2024-04-22_germany,30
2024-04-22_south_korea,2024-04-08_france,12
2024-05-06_united_states,2024-04-01_south_korea,14
2024-05-06_france,2024-05-06_united_states,34
2024-04-08_canada,2024-04-15_germany,10
2024-04-22_germany,2024-05-20_japan,12
2024-04-01_united_kingdom,2024-05-20_south_korea,33
2024-05-13_france,2024-05-13_japan,19
2024-04-08_australia,2024-04-22_china,6
2024-05-13_japan,2024-04-01_south_korea,24
2024-04-29_germany,2024-04-15_united_states,13
