id,time,country,topic_1,topic_2,topic_3,topic_4,user_count
2024-04-01_china,2024-04-01,China,38,25,13,8,85
2024-04-01_united_states,2024-04-01,United States,41,25,23,12,93
2024-04-01_canada,2024-04-01,Canada,48,20,18,9,91
2024-04-01_united_kingdom,2024-04-01,United Kingdom,57,30,24,22,120
2024-04-01_germany,2024-04-01,Germany,41,26,12,21,93
2024-04-01_france,2024-04-01,France,46,31,26,23,118
2024-04-01_japan,2024-04-01,Japan,66,24,26,22,123
2024-04-01_south_korea,2024-04-01,South Korea,50,19,31,27,112
2024-04-01_australia,2024-04-01,Australia,57,22,12,9,97
2024-04-01_brazil,2024-04-01,Brazil,52,19,19,10,96
2024-04-08_china,2024-04-08,China,49,21,16,19,98
2024-04-08_united_states,2024-04-08,United States,38,26,24,21,101
2024-04-08_canada,2024-04-08,Canada,49,28,24,15,109
2024-04-08_united_kingdom,2024-04-08,United Kingdom,51,23,31,18,116
2024-04-08_germany,2024-04-08,Germany,41,39,17,22,112
2024-04-08_france,2024-04-08,France,46,20,15,16,98
2024-04-08_japan,2024-04-08,Japan,48,27,30,11,110
2024-04-08_south_korea,2024-04-08,South Korea,40,24,35,14,100
2024-04-08_australia,2024-04-08,Australia,59,23,21,22,116
2024-04-08_brazil,2024-04-08,Brazil,36,33,20,24,103
2024-04-15_china,2024-04-15,China,38,19,24,20,92
2024-04-15_united_states,2024-04-15,United States,64,23,18,22,116
2024-04-15_canada,2024-04-15,Canada,46,39,24,12,105
2024-04-15_united_kingdom,2024-04-15,United Kingdom,43,32,34,14,113
2024-04-15_germany,2024-04-15,Germany,48,22,16,17,94
2024-04-15_france,2024-04-15,France,35,16,21,13,84
2024-04-15_japan,2024-04-15,Japan,32,23,25,14,95
2024-04-15_south_korea,2024-04-15,South Korea,44,23,40,20,113
2024-04-15_australia,2024-04-15,Australia,40,28,20,24,102
2024-04-15_brazil,2024-04-15,Brazil,54,42,24,16,115
2024-04-22_china,2024-04-22,China,39,28,23,16,103
2024-04-22_united_states,2024-04-22,United States,27,25,25,11,81
2024-04-22_canada,2024-04-22,Canada,48,18,32,19,102
2024-04-22_united_kingdom,2024-04-22,United Kingdom,49,28,21,24,115
2024-04-22_germany,2024-04-22,Germany,58,30,17,22,114
2024-04-22_france,2024-04-22,France,49,30,22,26,118
2024-04-22_japan,2024-04-22,Japan,52,27,29,9,111
2024-04-22_south_korea,2024-04-22,South Korea,61,38,22,9,116
2024-04-22_australia,2024-04-22,Australia,36,12,23,19,86
2024-04-22_brazil,2024-04-22,Brazil,51,16,22,12,91
2024-04-29_china,2024-04-29,China,48,38,23,23,113
2024-04-29_united_states,2024-04-29,United States,43,16,23,17,90
2024-04-29_canada,2024-04-29,Canada,46,23,31,18,106
2024-04-29_united_kingdom,2024-04-29,United Kingdom,55,24,21,12,101
2024-04-29_germany,2024-04-29,Germany,38,30,25,10,94
2024-04-29_france,2024-04-29,France,45,29,26,17,104
2024-04-29_japan,2024-04-29,Japan,49,33,30,20,119
2024-04-29_south_korea,2024-04-29,South Korea,44,24,12,23,92
2024-04-29_australia,2024-04-29,Australia,47,17,19,25,99
2024-04-29_brazil,2024-04-29,Brazil,58,31,25,25,126
2024-05-06_china,2024-05-06,China,50,13,31,13,106
2024-05-06_united_states,2024-05-06,United States,41,18,36,11,96
2024-05-06_canada,2024-05-06,Canada,49,21,20,9,97
2024-05-06_united_kingdom,2024-05-06,United Kingdom,39,22,21,21,94
2024-05-06_germany,2024-05-06,Germany,48,25,25,13,100
2024-05-06_france,2024-05-06,France,60,40,36,17,128
2024-05-06_japan,2024-05-06,Japan,26,13,20,21,80
2024-05-06_south_korea,2024-05-06,South Korea,50,26,13,26,111
2024-05-06_australia,2024-05-06,Australia,44,31,20,7,94
2024-05-06_brazil,2024-05-06,Brazil,37,24,32,11,103
2024-05-13_china,2024-05-13,China,52,24,28,11,106
2024-05-13_united_states,2024-05-13,United States,52,25,28,24,115
2024-05-13_canada,2024-05-13,Canada,35,29,12,21,98
2024-05-13_united_kingdom,2024-05-13,United Kingdom,52,31,22,19,114
2024-05-13_germany,2024-05-13,Germany,60,21,28,22,115
2024-05-13_france,2024-05-13,France,63,16,31,6,104
2024-05-13_japan,2024-05-13,Japan,49,20,14,13,94
2024-05-13_south_korea,2024-05-13,South Korea,54,34,25,18,113
2024-05-13_australia,2024-05-13,Australia,48,34,25,13,106
2024-05-13_brazil,2024-05-13,Brazil,49,28,30,22,111
2024-05-20_china,2024-05-20,China,41,23,32,20,103
2024-05-20_united_states,2024-05-20,United States,47,36,28,25,126
2024-05-20_canada,2024-05-20,Canada,44,37,19,6,96
2024-05-20_united_kingdom,2024-05-20,United Kingdom,48,13,20,18,93
2024-05-20_germany,2024-05-20,Germany,45,28,34,17,113
2024-05-20_france,2024-05-20,France,32,24,31,13,95
2024-05-20_japan,2024-05-20,Japan,56,27,17,16,104
2024-05-20_south_korea,2024-05-20,South Korea,53,33,20,27,114
2024-05-20_australia,2024-05-20,Australia,37,34,33,22,119
2024-05-20_brazil,2024-05-20,Brazil,47,11,27,10,95
