source,target,weight
N001,N004,2
N004,N007,3
N007,N010,4
N010,N013,1
N013,N016,2
N016,N019,3
N019,N022,4
N022,N025,1
N025,N028,2
N028,N031,3
N031,N034,4
N034,N037,1
N037,N040,2
N040,N043,3
N043,N046,4
N046,N049,1
N049,N052,2
N052,N055,3
N055,N058,4
N058,N061,1
N061,N064,2
N064,N067,3
N067,N070,4
N070,N073,1
N073,N076,2
N076,N079,3
N079,N082,4
N082,N085,1
N085,N088,2
N088,N091,3
N091,N094,4
N094,N097,1
N097,N100,2
N100,N001,3
N001,N007,3
N004,N010,4
N007,N013,1
N010,N016,2
N013,N019,3
N016,N022,4
N019,N025,1
N022,N028,2
N025,N031,3
N028,N034,4
N031,N037,1
N034,N040,2
N037,N043,3
N040,N046,4
N043,N049,1
N046,N052,2
N049,N055,3
N052,N058,4
N055,N061,1
N058,N064,2
N061,N067,3
N064,N070,4
N067,N073,1
N070,N076,2
N073,N079,3
N076,N082,4
N079,N085,1
N082,N088,2
N085,N091,3
N088,N094,4
N091,N097,1
N094,N100,2
N097,N001,3
N100,N004,4
N001,N013,1
N004,N016,2
N007,N019,3
N010,N022,4
N013,N025,1
N016,N028,2
N019,N031,3
N022,N034,4
N025,N037,1
N028,N040,2
N031,N043,3
N034,N046,4
N037,N049,1
N040,N052,2
N043,N055,3
N046,N058,4
N049,N061,1
N052,N064,2
N055,N067,3
N058,N070,4
N061,N073,1
N064,N076,2
N067,N079,3
N070,N082,4
N073,N085,1
N076,N088,2
N079,N091,3
N082,N094,4
N085,N097,1
N088,N100,2
N091,N001,3
N094,N004,4
N097,N007,1
N100,N010,2
N001,N022,4
N004,N025,1
N007,N028,2
N010,N031,3
N013,N034,4
N016,N037,1
N019,N040,2
N022,N043,3
N025,N046,4
N028,N049,1
N031,N052,2
N034,N055,3
N037,N058,4
N040,N061,1
N043,N064,2
N046,N067,3
N049,N070,4
N052,N073,1
N055,N076,2
N058,N079,3
N061,N082,4
N064,N085,1
N067,N088,2
N070,N091,3
N073,N094,4
N076,N097,1
N079,N100,2
N082,N001,3
N085,N004,4
N088,N007,1
N091,N010,2
N094,N013,3
N097,N016,4
N100,N019,1
N002,N005,3
N005,N008,4
N008,N011,1
N011,N014,2
N014,N017,3
N017,N020,4
N020,N023,1
N023,N026,2
N026,N029,3
N029,N032,4
N032,N035,1
N035,N038,2
N038,N041,3
N041,N044,4
N044,N047,1
N047,N050,2
N050,N053,3
N053,N056,4
N056,N059,1
N059,N062,2
N062,N065,3
N065,N068,4
N068,N071,1
N071,N074,2
N074,N077,3
N077,N080,4
N080,N083,1
N083,N086,2
N086,N089,3
N089,N092,4
N092,N095,1
N095,N098,2
N098,N002,3
N002,N008,4
N005,N011,1
N008,N014,2
N011,N017,3
N014,N020,4
N017,N023,1
N020,N026,2
N023,N029,3
N026,N032,4
N029,N035,1
N032,N038,2
N035,N041,3
N038,N044,4
N041,N047,1
N044,N050,2
N047,N053,3
N050,N056,4
N053,N059,1
N056,N062,2
N059,N065,3
N062,N068,4
N065,N071,1
N068,N074,2
N071,N077,3
N074,N080,4
N077,N083,1
N080,N086,2
N083,N089,3
N086,N092,4
N089,N095,1
N092,N098,2
N095,N002,3
N098,N005,4
N002,N014,2
N005,N017,3
N008,N020,4
N011,N023,1
N014,N026,2
N017,N029,3
N020,N032,4
N023,N035,1
N026,N038,2
N029,N041,3
N032,N044,4
N035,N047,1
N038,N050,2
N041,N053,3
N044,N056,4
N047,N059,1
N050,N062,2
N053,N065,3
N056,N068,4
N059,N071,1
N062,N074,2
N065,N077,3
N068,N080,4
N071,N083,1
N074,N086,2
N077,N089,3
N080,N092,4
N083,N095,1
N086,N098,2
N089,N002,3
N092,N005,4
N095,N008,1
N098,N011,2
N002,N023,1
N005,N026,2
N008,N029,3
N011,N032,4
N014,N035,1
N017,N038,2
N020,N041,3
N023,N044,4
N026,N047,1
N029,N050,2
N032,N053,3
N035,N056,4
N038,N059,1
N041,N062,2
N044,N065,3
N047,N068,4
N050,N071,1
N053,N074,2
N056,N077,3
N059,N080,4
N062,N083,1
N065,N086,2
N068,N089,3
N071,N092,4
N074,N095,1
N077,N098,2
N080,N002,3
N083,N005,4
N086,N008,1
N089,N011,2
N092,N014,3
N095,N017,4
N098,N020,1
N003,N006,4
N006,N009,1
N009,N012,2
N012,N015,3
N015,N018,4
N018,N021,1
N021,N024,2
N024,N027,3
N027,N030,4
N030,N033,1
N033,N036,2
N036,N039,3
N039,N042,4
N042,N045,1
N045,N048,2
N048,N051,3
N051,N054,4
N054,N057,1
N057,N060,2
N060,N063,3
N063,N066,4
N066,N069,1
N069,N072,2
N072,N075,3
N075,N078,4
N078,N081,1
N081,N084,2
N084,N087,3
N087,N090,4
N090,N093,1
N093,N096,2
N096,N099,3
