cell_id,row_group,column_group,channel_a,channel_b,channel_c,channel_d,channel_e,heat_value
R01-C01,R01,C01,4,5,7,3,4,23
R01-C02,R01,C02,5,6,6,5,5,27
R01-C03,R01,C03,5,6,10,6,6,33
R01-C04,R01,C04,6,7,14,6,6,39
R01-C05,R01,C05,8,10,15,7,9,49
R01-C06,R01,C06,9,10,9,9,9,46
R01-C07,R01,C07,5,9,11,7,6,38
R01-C08,R01,C08,5,5,10,5,5,30
R01-C09,R01,C09,4,5,6,4,5,24
R01-C10,R01,C10,4,4,4,4,3,19
R01-C11,R01,C11,2,4,5,3,3,17
R01-C12,R01,C12,2,3,5,2,3,15
R01-C13,R01,C13,2,3,5,2,2,14
R01-C14,R01,C14,4,4,6,4,4,22
R01-C15,R01,C15,3,4,6,4,4,21
R01-C16,R01,C16,3,4,7,3,3,20
R01-C17,R01,C17,3,4,6,3,3,19
R01-C18,R01,C18,3,3,5,3,4,18
R01-C19,R01,C19,2,3,6,3,3,17
R01-C20,R01,C20,2,3,5,3,3,16
R02-C01,R02,C01,6,6,9,5,6,32
R02-C02,R02,C02,6,8,15,6,7,42
R02-C03,R02,C03,9,11,15,11,10,56
R02-C04,R02,C04,12,15,16,12,13,68
R02-C05,R02,C05,13,16,19,12,12,72
R02-C06,R02,C06,9,12,23,10,12,66
R02-C07,R02,C07,8,10,14,10,10,52
R02-C08,R02,C08,6,7,11,6,6,36
R02-C09,R02,C09,6,7,9,5,6,33
R02-C10,R02,C10,4,6,7,4,5,26
R02-C11,R02,C11,3,4,7,4,4,22
R02-C12,R02,C12,3,4,6,3,3,19
R02-C13,R02,C13,3,4,4,3,4,18
R02-C14,R02,C14,2,4,5,3,3,17
R02-C15,R02,C15,2,4,4,3,3,16
R02-C16,R02,C16,3,3,3,3,3,15
R02-C17,R02,C17,3,3,4,2,2,14
R02-C18,R02,C18,3,4,8,3,4,22
R02-C19,R02,C19,3,5,5,4,4,21
R02-C20,R02,C20,3,5,5,4,3,20
R03-C01,R03,C01,5,7,10,6,6,34
R03-C02,R03,C02,8,11,14,9,10,52
R03-C03,R03,C03,13,17,22,11,12,75
R03-C04,R03,C04,19,19,27,20,19,104
R03-C05,R03,C05,16,21,32,20,22,111
R03-C06,R03,C06,16,21,32,17,16,102
R03-C07,R03,C07,14,17,23,12,14,80
R03-C08,R03,C08,10,13,10,11,11,55
R03-C09,R03,C09,5,6,12,6,6,35
R03-C10,R03,C10,4,4,7,4,4,23
R03-C11,R03,C11,3,3,5,3,3,17
R03-C12,R03,C12,3,3,4,3,2,15
R03-C13,R03,C13,3,5,6,4,4,22
R03-C14,R03,C14,3,4,7,3,4,21
R03-C15,R03,C15,3,4,7,3,3,20
R03-C16,R03,C16,4,4,4,4,3,19
R03-C17,R03,C17,3,4,4,3,4,18
R03-C18,R03,C18,3,4,4,3,3,17
R03-C19,R03,C19,3,3,5,2,3,16
R03-C20,R03,C20,3,3,3,3,3,15
R04-C01,R04,C01,7,10,12,9,7,45
R04-C02,R04,C02,12,12,21,12,12,69
R04-C03,R04,C03,19,19,26,16,20,100
R04-C04,R04,C04,18,26,45,19,20,128
R04-C05,R04,C05,21,30,36,26,25,138
R04-C06,R04,C06,21,29,29,22,25,126
R04-C07,R04,C07,18,17,30,16,15,96
R04-C08,R04,C08,10,14,24,11,13,72
R04-C09,R04,C09,7,9,12,9,9,46
R04-C10,R04,C10,5,6,9,5,5,30
R04-C11,R04,C11,4,5,5,4,4,22
R04-C12,R04,C12,3,3,6,3,4,19
R04-C13,R04,C13,3,3,5,3,3,17
R04-C14,R04,C14,3,3,4,3,3,16
R04-C15,R04,C15,3,3,4,3,3,16
R04-C16,R04,C16,2,3,6,2,2,15
R04-C17,R04,C17,4,4,7,4,4,23
R04-C18,R04,C18,4,4,5,4,4,21
R04-C19,R04,C19,4,4,6,3,3,20
R04-C20,R04,C20,3,4,6,3,3,19
R05-C01,R05,C01,7,8,13,6,8,42
R05-C02,R05,C02,13,14,18,13,11,69
R05-C03,R05,C03,16,24,33,20,20,113
R05-C04,R05,C04,22,33,37,23,28,143
R05-C05,R05,C05,26,28,53,23,25,155
R05-C06,R05,C06,26,27,36,27,25,141
R05-C07,R05,C07,15,22,32,19,21,109
R05-C08,R05,C08,11,16,21,12,12,72
R05-C09,R05,C09,7,10,12,6,8,43
R05-C10,R05,C10,5,5,6,5,5,26
R05-C11,R05,C11,3,3,6,3,3,18
R05-C12,R05,C12,4,5,6,4,4,23
R05-C13,R05,C13,4,5,6,3,4,22
R05-C14,R05,C14,4,5,5,4,4,22
R05-C15,R05,C15,3,4,6,4,4,21
R05-C16,R05,C16,3,4,7,3,4,21
R05-C17,R05,C17,3,4,6,3,3,19
R05-C18,R05,C18,3,4,5,3,3,18
R05-C19,R05,C19,2,4,4,3,3,16
R05-C20,R05,C20,2,3,5,2,2,14
R06-C01,R06,C01,8,10,11,7,8,44
R06-C02,R06,C02,10,16,19,10,13,68
R06-C03,R06,C03,15,18,31,19,16,99
R06-C04,R06,C04,22,24,35,23,23,127
R06-C05,R06,C05,26,28,34,23,27,138
R06-C06,R06,C06,18,27,41,19,20,125
R06-C07,R06,C07,16,24,25,20,19,104
R06-C08,R06,C08,12,13,19,13,14,71
R06-C09,R06,C09,8,9,14,7,7,45
R06-C10,R06,C10,4,6,10,4,5,29
R06-C11,R06,C11,3,5,6,4,4,22
R06-C12,R06,C12,3,5,5,4,3,20
R06-C13,R06,C13,4,4,5,3,4,20
R06-C14,R06,C14,3,4,7,3,4,21
R06-C15,R06,C15,3,4,7,4,4,22
R06-C16,R06,C16,5,7,7,6,6,31
R06-C17,R06,C17,5,7,6,5,6,29
R06-C18,R06,C18,4,5,9,4,4,26
R06-C19,R06,C19,3,4,7,4,4,22
R06-C20,R06,C20,3,4,5,4,4,20
R07-C01,R07,C01,4,6,11,6,5,32
R07-C02,R07,C02,9,11,18,10,11,59
R07-C03,R07,C03,14,17,23,12,16,82
R07-C04,R07,C04,19,22,26,20,16,103
R07-C05,R07,C05,16,25,30,20,20,111
R07-C06,R07,C06,16,18,31,17,20,102
R07-C07,R07,C07,14,15,26,12,13,80
R07-C08,R07,C08,10,11,13,11,10,55
R07-C09,R07,C09,5,8,9,6,7,35
R07-C10,R07,C10,4,5,6,4,4,23
R07-C11,R07,C11,5,5,8,4,5,27
R07-C12,R07,C12,5,5,6,5,5,26
R07-C13,R07,C13,4,6,9,5,5,29
R07-C14,R07,C14,5,8,10,6,6,35
R07-C15,R07,C15,7,9,10,6,8,40
R07-C16,R07,C16,8,8,11,8,7,42
R07-C17,R07,C17,5,7,12,7,7,38
R07-C18,R07,C18,5,6,9,5,6,31
R07-C19,R07,C19,4,5,7,3,4,23
R07-C20,R07,C20,5,6,5,5,5,26
R08-C01,R08,C01,4,6,7,6,6,29
R08-C02,R08,C02,7,9,11,7,6,40
R08-C03,R08,C03,10,12,13,9,10,54
R08-C04,R08,C04,9,12,23,10,13,67
R08-C05,R08,C05,11,14,22,14,12,73
R08-C06,R08,C06,13,16,20,14,14,77
R08-C07,R08,C07,12,14,15,10,13,64
R08-C08,R08,C08,7,11,15,7,8,48
R08-C09,R08,C09,5,6,11,7,6,35
R08-C10,R08,C10,4,5,7,5,5,26
R08-C11,R08,C11,4,5,6,4,4,23
R08-C12,R08,C12,4,6,7,4,5,26
R08-C13,R08,C13,5,8,8,7,7,35
R08-C14,R08,C14,8,9,14,9,8,48
R08-C15,R08,C15,13,13,21,11,12,70
R08-C16,R08,C16,10,15,23,11,15,74
R08-C17,R08,C17,11,15,18,13,11,68
R08-C18,R08,C18,9,12,14,9,9,53
R08-C19,R08,C19,7,7,11,6,7,38
R08-C20,R08,C20,4,5,9,4,4,26
R09-C01,R09,C01,5,6,8,4,5,28
R09-C02,R09,C02,6,6,8,7,7,34
R09-C03,R09,C03,6,8,14,7,7,42
R09-C04,R09,C04,8,10,16,8,9,51
R09-C05,R09,C05,10,12,15,8,11,56
R09-C06,R09,C06,10,13,12,11,9,55
R09-C07,R09,C07,7,9,15,9,9,49
R09-C08,R09,C08,6,8,11,7,8,40
R09-C09,R09,C09,5,6,9,5,5,30
R09-C10,R09,C10,6,7,8,6,6,33
R09-C11,R09,C11,4,7,8,6,6,31
R09-C12,R09,C12,6,7,13,6,6,38
R09-C13,R09,C13,9,10,17,8,10,54
R09-C14,R09,C14,14,16,18,15,15,78
R09-C15,R09,C15,14,22,30,18,16,100
R09-C16,R09,C16,17,25,30,18,19,109
R09-C17,R09,C17,17,18,29,15,19,98
R09-C18,R09,C18,14,14,20,14,12,74
R09-C19,R09,C19,8,11,17,10,10,56
R09-C20,R09,C20,6,8,10,6,7,37
