id,label,community,size
N001,Node 001,Community A,17
N002,Node 002,Community B,34
N003,Node 003,Community C,51
N004,Node 004,Community A,13
N005,Node 005,Community B,30
N006,Node 006,Community C,47
N007,Node 007,Community A,9
N008,Node 008,Community B,26
N009,Node 009,Community C,43
N010,Node 010,Community A,60
N011,Node 011,Community B,22
N012,Node 012,Community C,39
N013,Node 013,Community A,56
N014,Node 014,Community B,18
N015,Node 015,Community C,35
N016,Node 016,Community A,52
N017,Node 017,Community B,14
N018,Node 018,Community C,31
N019,Node 019,Community A,48
N020,Node 020,Community B,10
N021,Node 021,Community C,27
N022,Node 022,Community A,44
N023,Node 023,Community B,6
N024,Node 024,Community C,23
N025,Node 025,Community A,40
N026,Node 026,Community B,57
N027,Node 027,Community C,19
N028,Node 028,Community A,36
N029,Node 029,Community B,53
N030,Node 030,Community C,15
N031,Node 031,Community A,32
N032,Node 032,Community B,49
N033,Node 033,Community C,11
N034,Node 034,Community A,28
N035,Node 035,Community B,45
N036,Node 036,Community C,7
N037,Node 037,Community A,24
N038,Node 038,Community B,41
N039,Node 039,Community C,58
N040,Node 040,Community A,20
N041,Node 041,Community B,37
N042,Node 042,Community C,54
N043,Node 043,Community A,16
N044,Node 044,Community B,33
N045,Node 045,Community C,50
N046,Node 046,Community A,12
N047,Node 047,Community B,29
N048,Node 048,Community C,46
N049,Node 049,Community A,8
N050,Node 050,Community B,25
N051,Node 051,Community C,42
N052,Node 052,Community A,59
N053,Node 053,Community B,21
N054,Node 054,Community C,38
N055,Node 055,Community A,55
N056,Node 056,Community B,17
N057,Node 057,Community C,34
N058,Node 058,Community A,51
N059,Node 059,Community B,13
N060,Node 060,Community C,30
N061,Node 061,Community A,47
N062,Node 062,Community B,9
N063,Node 063,Community C,26
N064,Node 064,Community A,43
N065,Node 065,Community B,60
N066,Node 066,Community C,22
N067,Node 067,Community A,39
N068,Node 068,Community B,56
N069,Node 069,Community C,18
N070,Node 070,Community A,35
N071,Node 071,Community B,52
N072,Node 072,Community C,14
N073,Node 073,Community A,31
N074,Node 074,Community B,48
N075,Node 075,Community C,10
N076,Node 076,Community A,27
N077,Node 077,Community B,44
N078,Node 078,Community C,6
N079,Node 079,Community A,23
N080,Node 080,Community B,40
N081,Node 081,Community C,57
N082,Node 082,Community A,19
N083,Node 083,Community B,36
N084,Node 084,Community C,53
N085,Node 085,Community A,15
N086,Node 086,Community B,32
N087,Node 087,Community C,49
N088,Node 088,Community A,11
N089,Node 089,Community B,28
N090,Node 090,Community C,45
N091,Node 091,Community A,7
N092,Node 092,Community B,24
N093,Node 093,Community C,41
N094,Node 094,Community A,58
N095,Node 095,Community B,20
N096,Node 096,Community C,37
N097,Node 097,Community A,54
N098,Node 098,Community B,16
N099,Node 099,Community C,33
N100,Node 100,Community A,50
