id,row_group,column_group,direct,referral,organic,total
R01-C01,R01,C01,18,22,22,62
R01-C02,R01,C02,21,11,24,56
R01-C03,R01,C03,24,22,26,72
R01-C04,R01,C04,27,11,28,66
R01-C05,R01,C05,30,22,30,82
R01-C06,R01,C06,8,11,8,27
R01-C07,R01,C07,11,22,10,43
R01-C08,R01,C08,14,11,12,37
R01-C09,R01,C09,17,22,14,53
R01-C10,R01,C10,20,11,16,47
R01-C11,R01,C11,23,22,18,63
R01-C12,R01,C12,26,11,20,57
R01-C13,R01,C13,29,22,22,73
R01-C14,R01,C14,32,11,24,67
R01-C15,R01,C15,10,22,26,58
R01-C16,R01,C16,13,11,28,52
R01-C17,R01,C17,16,22,30,68
R01-C18,R01,C18,19,11,8,38
R01-C19,R01,C19,22,22,10,54
R01-C20,R01,C20,25,11,12,48
R02-C01,R02,C01,25,27,11,63
R02-C02,R02,C02,28,16,13,57
R02-C03,R02,C03,31,27,15,73
R02-C04,R02,C04,9,16,17,42
R02-C05,R02,C05,12,27,19,58
R02-C06,R02,C06,15,16,21,52
R02-C07,R02,C07,18,27,23,68
R02-C08,R02,C08,21,16,25,62
R02-C09,R02,C09,24,27,27,78
R02-C10,R02,C10,27,16,29,72
R02-C11,R02,C11,30,27,7,64
R02-C12,R02,C12,8,16,9,33
R02-C13,R02,C13,11,27,11,49
R02-C14,R02,C14,14,16,13,43
R02-C15,R02,C15,17,27,15,59
R02-C16,R02,C16,20,16,17,53
R02-C17,R02,C17,23,27,19,69
R02-C18,R02,C18,26,16,21,63
R02-C19,R02,C19,29,27,23,79
R02-C20,R02,C20,32,16,25,73
R03-C01,R03,C01,32,10,24,66
R03-C02,R03,C02,10,21,26,57
R03-C03,R03,C03,13,10,28,51
R03-C04,R03,C04,16,21,30,67
R03-C05,R03,C05,19,10,8,37
R03-C06,R03,C06,22,21,10,53
R03-C07,R03,C07,25,10,12,47
R03-C08,R03,C08,28,21,14,63
R03-C09,R03,C09,31,10,16,57
R03-C10,R03,C10,9,21,18,48
R03-C11,R03,C11,12,10,20,42
R03-C12,R03,C12,15,21,22,58
R03-C13,R03,C13,18,10,24,52
R03-C14,R03,C14,21,21,26,68
R03-C15,R03,C15,24,10,28,62
R03-C16,R03,C16,27,21,30,78
R03-C17,R03,C17,30,10,8,48
R03-C18,R03,C18,8,21,10,39
R03-C19,R03,C19,11,10,12,33
R03-C20,R03,C20,14,21,14,49
R04-C01,R04,C01,14,15,13,42
R04-C02,R04,C02,17,26,15,58
R04-C03,R04,C03,20,15,17,52
R04-C04,R04,C04,23,26,19,68
R04-C05,R04,C05,26,15,21,62
R04-C06,R04,C06,29,26,23,78
R04-C07,R04,C07,32,15,25,72
R04-C08,R04,C08,10,26,27,63
R04-C09,R04,C09,13,15,29,57
R04-C10,R04,C10,16,26,7,49
R04-C11,R04,C11,19,15,9,43
R04-C12,R04,C12,22,26,11,59
R04-C13,R04,C13,25,15,13,53
R04-C14,R04,C14,28,26,15,69
R04-C15,R04,C15,31,15,17,63
R04-C16,R04,C16,9,26,19,54
R04-C17,R04,C17,12,15,21,48
R04-C18,R04,C18,15,26,23,64
R04-C19,R04,C19,18,15,25,58
R04-C20,R04,C20,21,26,27,74
R05-C01,R05,C01,21,20,26,67
R05-C02,R05,C02,24,9,28,61
R05-C03,R05,C03,27,20,30,77
R05-C04,R05,C04,30,9,8,47
R05-C05,R05,C05,8,20,10,38
R05-C06,R05,C06,11,9,12,32
R05-C07,R05,C07,14,20,14,48
R05-C08,R05,C08,17,9,16,42
R05-C09,R05,C09,20,20,18,58
R05-C10,R05,C10,23,9,20,52
R05-C11,R05,C11,26,20,22,68
R05-C12,R05,C12,29,9,24,62
R05-C13,R05,C13,32,20,26,78
R05-C14,R05,C14,10,9,28,47
R05-C15,R05,C15,13,20,30,63
R05-C16,R05,C16,16,9,8,33
R05-C17,R05,C17,19,20,10,49
R05-C18,R05,C18,22,9,12,43
R05-C19,R05,C19,25,20,14,59
R05-C20,R05,C20,28,9,16,53
R06-C01,R06,C01,28,25,15,68
R06-C02,R06,C02,31,14,17,62
R06-C03,R06,C03,9,25,19,53
R06-C04,R06,C04,12,14,21,47
R06-C05,R06,C05,15,25,23,63
R06-C06,R06,C06,18,14,25,57
R06-C07,R06,C07,21,25,27,73
R06-C08,R06,C08,24,14,29,67
R06-C09,R06,C09,27,25,7,59
R06-C10,R06,C10,30,14,9,53
R06-C11,R06,C11,8,25,11,44
R06-C12,R06,C12,11,14,13,38
R06-C13,R06,C13,14,25,15,54
R06-C14,R06,C14,17,14,17,48
R06-C15,R06,C15,20,25,19,64
R06-C16,R06,C16,23,14,21,58
R06-C17,R06,C17,26,25,23,74
R06-C18,R06,C18,29,14,25,68
R06-C19,R06,C19,32,25,27,84
R06-C20,R06,C20,10,14,29,53
R07-C01,R07,C01,10,8,28,46
R07-C02,R07,C02,13,19,30,62
R07-C03,R07,C03,16,8,8,32
