node_id,parent_id,leaf_id,value,group
Species,,,,
Warm-blooded,Species,,,
Mammals,Warm-blooded,,,
Fox,Mammals,Fox,72,Mammals
Wolf,Mammals,Wolf,88,Mammals
Bear,Mammals,Bear,64,Mammals
Otter,Mammals,Otter,51,Mammals
Birds,Warm-blooded,,,
Eagle,Birds,Eagle,93,Birds
Owl,Birds,Owl,67,Birds
Crane,Birds,Crane,58,Birds
Robin,Birds,Robin,46,Birds
Cold-blooded,Species,,,
Reptiles,Cold-blooded,,,
Gecko,Reptiles,Gecko,39,Reptiles
Iguana,Reptiles,Iguana,55,Reptiles
Cobra,Reptiles,Cobra,81,Reptiles
Turtle,Reptiles,Turtle,62,Reptiles
Amphibians,Cold-blooded,,,
Frog,Amphibians,Frog,74,Amphibians
Newt,Amphibians,Newt,43,Amphibians
Salamander,Amphibians,Salamander,69,Amphibians
Caecilian,Amphibians,Caecilian,34,Amphibians
